STOP_ID,DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location,Latitude,Longitude,Number,Street,City,State,County,Zip
30055,W,Central (Harlem-bound),Central,Central (Green Line),40280,1,,,1,,,,,,,"(41.887389, -87.76565)",41.887021,-87.765685,5611,W Corcoran Pl,Chicago,IL,Cook County,60644
30152,W,Central Park (54th/Cermak-bound),Central Park,Central Park (Pink Line),40780,1,,,,,,,,1,,"(41.853839, -87.714842)",41.85385,-87.714754,1919,S Central Park Ave,Chicago,IL,Cook County,60623
30151,E,Central Park (Loop-bound),Central Park,Central Park (Pink Line),40780,1,,,,,,,,1,,"(41.853839, -87.714842)",41.85385,-87.714754,1919,S Central Park Ave,Chicago,IL,Cook County,60623
30194,S,Cermak-Chinatown (95th-bound),Cermak-Chinatown,Cermak-Chinatown (Red Line),41000,1,1,,,,,,,,,"(41.853206, -87.630968)",41.853628,-87.631112,138,W Cermak Rd,Chicago,IL,Cook County,60616
30193,N,Cermak-Chinatown (Howard-bound),Cermak-Chinatown,Cermak-Chinatown (Red Line),41000,1,1,,,,,,,,,"(41.853206, -87.630968)",41.853628,-87.631112,138,W Cermak Rd,Chicago,IL,Cook County,60616
30242,S,Central (Howard-Loop-bound),Central,Central (Purple Line),41250,,,,,,1,1,,,,"(42.063987, -87.685617)",42.064058,-87.685704,1022,Central St,Evanston,IL,Cook County,60201
30241,N,Central (Linden-bound),Central,Central (Purple Line),41250,,,,,,1,1,,,,"(42.063987, -87.685617)",42.064058,-87.685704,1022,Central St,Evanston,IL,Cook County,60201
30083,W,Cicero (54th/Cermak-bound),Cicero,Cicero (Pink Line),40420,1,,,,,,,,1,,"(41.85182, -87.745336)",41.852165,-87.74521,2121,48th Ct,Cicero,IL,Cook County,60804
30082,E,Cicero (Loop-bound),Cicero,Cicero (Pink Line),40420,1,,,,,,,,1,,"(41.85182, -87.745336)",41.852165,-87.74521,2121,48th Ct,Cicero,IL,Cook County,60804
30188,W,Cicero (Forest Pk-bound),Cicero,Cicero (Blue Line),40970,,,1,,,,,,,,"(41.871574, -87.745154)",41.871594,-87.745337,4824,S Cicero Ave,Chicago,IL,Cook County,60644
30187,E,Cicero (O'Hare-bound),Cicero,Cicero (Blue Line),40970,,,1,,,,,,,,"(41.871574, -87.745154)",41.871594,-87.745337,4824,S Cicero Ave,Chicago,IL,Cook County,60644
30094,E,Cicero (63rd-bound),Cicero,Cicero (Green Line),40480,1,,,1,,,,,,,"(41.886519, -87.744698)",41.886861,-87.744688,4740,W Lake St,Chicago,IL,Cook County,60644
30009,W,Cicero (Harlem-bound),Cicero,Cicero (Green Line),40480,1,,,1,,,,,,,"(41.886519, -87.744698)",41.886861,-87.744688,4740,W Lake St,Chicago,IL,Cook County,60644
30074,E,Clark/Lake (Inner Loop),Clark/Lake,"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink Lines)",40380,1,,,1,,,1,,1,1,"(41.885737, -87.630886)",41.885552,-87.63045,191,N Clark St,Chicago,IL,Cook County,60601
30075,W,Clark/Lake (Outer Loop),Clark/Lake,"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink Lines)",40380,1,,,1,1,,,,,,"(41.885737, -87.630886)",41.885552,-87.63045,191,N Clark St,Chicago,IL,Cook County,60601
30374,S,Clark/Lake (Forest Pk-bound),Clark/Lake,"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink Lines)",40380,1,,1,,,,,,,,"(41.885737, -87.630886)",41.885552,-87.63045,191,N Clark St,Chicago,IL,Cook County,60601
30375,N,Clark/Lake (O'Hare-bound),Clark/Lake,"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink Lines)",40380,1,,1,,,,,,,,"(41.885737, -87.630886)",41.885552,-87.63045,191,N Clark St,Chicago,IL,Cook County,60601
30085,W,Clinton (Forest Pk-bound),Clinton,Clinton (Blue Line),40430,,,1,,,,,,,,"(41.875539, -87.640984)",41.876003,-87.641254,430,S Clinton St,Chicago,IL,Cook County,60607
30084,E,Clinton (O'Hare-bound),Clinton,Clinton (Blue Line),40430,,,1,,,,,,,,"(41.875539, -87.640984)",41.876003,-87.641254,430,S Clinton St,Chicago,IL,Cook County,60607
30222,W,Clinton (Harlem-54th/Cermak-bound),Clinton,Clinton (Green & Pink Lines),41160,1,,,1,,,,,1,,"(41.885678, -87.641782)",41.885665,-87.641799,540,W Lake St,Chicago,IL,Cook County,60661
30221,E,Clinton (Loop-63rd-bound),Clinton,Clinton (Green & Pink Lines),41160,1,,,1,,,,,1,,"(41.885678, -87.641782)",41.885665,-87.641799,540,W Lake St,Chicago,IL,Cook County,60661
30291,E,Conservatory (63rd-bound),Conservatory,Conservatory (Green Line),41670,1,,,1,,,,,,,"(41.884904, -87.716523)",41.885066,-87.715282,3544,W Lake St,Chicago,IL,Cook County,60624
30292,W,Conservatory (Harlem-bound),Conservatory,Conservatory (Green Line),41670,1,,,1,,,,,,,"(41.884904, -87.716523)",41.885066,-87.715282,3544,W Lake St,Chicago,IL,Cook County,60624
30139,E,Cottage Grove (Terminal arrival),Cottage Grove,Cottage Grove (Green Line),40720,1,,,1,,,,,,,"(41.780309, -87.605857)",41.780504,-87.605884,800,E 63rd St,Chicago,IL,Cook County,60637
30045,S,Cumberland (Forest Pk-bound),Cumberland,Cumberland (Blue Line),40230,1,,1,,,,,,,,"(41.984246, -87.838028)",41.984352,-87.838046,,I 90,Chicago,IL,Cook County,60631
30044,N,Cumberland (O'Hare-bound),Cumberland,Cumberland (Blue Line),40230,1,,1,,,,,,,,"(41.984246, -87.838028)",41.984352,-87.838046,,I 90,Chicago,IL,Cook County,60631
30041,W,Damen (54th/Cermak-bound),Damen,Damen (Pink Line),40210,1,,,,,,,,1,,"(41.854517, -87.675975)",41.854625,-87.675743,2007,S Damen Ave,Chicago,IL,Cook County,60608
30040,E,Damen (Loop-bound),Damen,Damen (Pink Line),40210,1,,,,,,,,1,,"(41.854517, -87.675975)",41.854625,-87.675743,2007,S Damen Ave,Chicago,IL,Cook County,60608
30116,S,Damen/Milwaukee (Forest Pk-bound),Damen,Damen (Blue Line),40590,,,1,,,,,,,,"(41.909744, -87.677437)",41.90975,-87.677671,1554,N Damen Ave,Chicago,IL,Cook County,60622
30115,N,Damen/Milwaukee (O'Hare-bound),Damen,Damen (Blue Line),40590,,,1,,,,,,,,"(41.909744, -87.677437)",41.90975,-87.677671,1554,N Damen Ave,Chicago,IL,Cook County,60622
30018,N,Damen (Kimball-bound),Damen,Damen (Brown Line),40090,1,,,,1,,,,,,"(41.966286, -87.678639)",41.966298,-87.678855,4639,N Damen Ave,Chicago,IL,Cook County,60625
30019,S,Damen (Loop-bound),Damen,Damen (Brown Line),40090,1,,,,1,,,,,,"(41.966286, -87.678639)",41.966298,-87.678855,4639,N Damen Ave,Chicago,IL,Cook County,60625
30011,S,Davis (Howard-Loop-bound),Davis,Davis (Purple Line),40050,1,,,,,1,1,,,,"(42.04771, -87.683543)",42.047628,-87.683656,1612,Benson Ave,Evanston,IL,Cook County,60201
30010,N,Davis (Linden-bound),Davis,Davis (Purple Line),40050,1,,,,,1,1,,,,"(42.04771, -87.683543)",42.047628,-87.683656,1612,Benson Ave,Evanston,IL,Cook County,60201
30134,S,Dempster (Howard-Loop-bound),Dempster,Dempster (Purple Line),40690,,,,,,1,1,,,,"(42.041655, -87.681602)",42.041669,-87.681576,1314,Sherman Pl,Evanston,IL,Cook County,60201
30133,N,Dempster (Linden-bound),Dempster,Dempster (Purple Line),40690,,,,,,1,1,,,,"(42.041655, -87.681602)",42.041669,-87.681576,1314,Sherman Pl,Evanston,IL,Cook County,60201
30103,N,Diversey (Kimball-Linden-bound),Diversey,Diversey (Brown & Purple Lines),40530,1,,,,1,,1,,,,"(41.932732, -87.653131)",41.932844,-87.653229,946,W Diversey Pkwy,Chicago,IL,Cook County,60614
30104,S,Diversey (Loop-bound),Diversey,Diversey (Brown & Purple Lines),40530,1,,,,1,,1,,,,"(41.932732, -87.653131)",41.932844,-87.653229,946,W Diversey Pkwy,Chicago,IL,Cook County,60614
30063,S,Division (Forest Pk-bound),Division,Division (Blue Line),40320,,,1,,,,,,,,"(41.903355, -87.666496)",41.903134,-87.666567,1184,N Milwaukee Ave,Chicago,IL,Cook County,60642
30076,E,Forest Park (O'Hare-bound),Forest Park,Forest Park (Blue Line),40390,1,,1,,,,,,,,"(41.874257, -87.817318)",41.874225,-87.816773,711,Des Plaines Ave,Forest Park,IL,Cook County,60130
30077,W,Forest Park (Terminal Arrival),Forest Park,Forest Park (Blue Line),40390,1,,1,,,,,,,,"(41.874257, -87.817318)",41.874225,-87.816773,711,Des Plaines Ave,Forest Park,IL,Cook County,60130
30102,S,Foster (Howard-Loop-bound),Foster,Foster (Purple Line),40520,,,,,,1,1,,,,"(42.05416, -87.68356)",42.054069,-87.683311,833,Foster St,Evanston,IL,Cook County,60201
30101,N,Foster (Linden-bound),Foster,Foster (Purple Line),40520,,,,,,1,1,,,,"(42.05416, -87.68356)",42.054069,-87.683311,833,Foster St,Evanston,IL,Cook County,60201
30167,N,Francisco (Kimball-bound),Francisco,Francisco (Brown Line),40870,1,,,,1,,,,,,"(41.966046, -87.701644)",41.965867,-87.701729,2914,W Eastwood Ave,Chicago,IL,Cook County,60625
30168,S,Francisco (Loop-bound),Francisco,Francisco (Brown Line),40870,1,,,,1,,,,,,"(41.966046, -87.701644)",41.965867,-87.701729,2914,W Eastwood Ave,Chicago,IL,Cook County,60625
30234,S,Fullerton (95th-bound),Fullerton,"Fullerton (Red, Brown & Purple Lines)",41220,1,1,,,,,,,,,"(41.925051, -87.652866)",41.925286,-87.652816,943,W Fullerton Ave,Chicago,IL,Cook County,60614
30233,N,Fullerton (Howard-bound),Fullerton,"Fullerton (Red, Brown & Purple Lines)",41220,1,1,,,,,,,,,"(41.925051, -87.652866)",41.925286,-87.652816,943,W Fullerton Ave,Chicago,IL,Cook County,60614
30235,N,Fullerton (Kimball-Linden-bound),Fullerton,"Fullerton (Red, Brown & Purple Lines)",41220,1,,,,1,,1,,,,"(41.925051, -87.652866)",41.925286,-87.652816,943,W Fullerton Ave,Chicago,IL,Cook County,60614
30236,S,Fullerton (Loop-bound),Fullerton,"Fullerton (Red, Brown & Purple Lines)",41220,1,,,,1,,1,,,,"(41.925051, -87.652866)",41.925286,-87.652816,943,W Fullerton Ave,Chicago,IL,Cook County,60614
30100,S,Garfield (63rd-bound),Garfield,Garfield (Green Line),40510,1,,,1,,,,,,,"(41.795172, -87.618327)",41.795347,-87.618379,320,E Garfield Blvd,Chicago,IL,Cook County,60615
30099,N,Garfield (Harlem-bound),Garfield,Garfield (Green Line),40510,1,,,1,,,,,,,"(41.795172, -87.618327)",41.795347,-87.618379,320,E Garfield Blvd,Chicago,IL,Cook County,60615
30096,S,Grand/Milwaukee (Forest Pk-bound),Grand,Grand (Blue Line),40490,,,1,,,,,,,,"(41.891189, -87.647578)",41.890911,-87.647438,494,N Milwaukee Ave,Chicago,IL,Cook County,60654
30095,N,Grand/Milwaukee (O'Hare-bound),Grand,Grand (Blue Line),40490,,,1,,,,,,,,"(41.891189, -87.647578)",41.890911,-87.647438,494,N Milwaukee Ave,Chicago,IL,Cook County,60654
