,long_date,Zip,total_num_crimes,crimes_per_capita,total_num_noise,month_year,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,median_listing_price_per_square_foot,median_square_feet,average_listing_price,total_listing_count,ZIP_CODE,Population,Income,311_Requests,Liquor_License_Counts,311_Per_Capita,Liquor_License_Per_Capita,School_rating,Bus_Stop_Ct,Bus_Stop_Per_Capita,L_Stop_Ct,L_Stop_Per_Capita,311-_Rat,Rat_Per_Capita,Pot_Hole_Count,Pothole_Per_Capita,Num_Rests,Rests_Per_Capita,starbucks_stores,Sbucks_Per_Capita,Public_Prop_Ct,Public_Prop_Per_Capita,Grocery_Store_Count,Grocery_Store_Per_Capita,Premium_Grocer,DOW_Close,30yr_Rates
29,1/1/2017,60656,8,0.000294887,0,201701,297000,62,58,36,186.25,1066,285079,98,60656,27129,61599,3154,25,0.116,0.000921523,7.5,56,0.002064212,2,7.37E-05,229,0.018433551,398,0.03203735,51,0.004105289,1,3.69E-05,3,0.000110583,2,7.37E-05,0,19864.09,4.15
30,1/1/2017,60657,12,0.00017967,0,201701,569050,271,56.5,168,256.3529412,1293.5,822187,414,60657,66789,92295,8048,358,0.12,0.005360164,7.5,158,0.002365659,10,0.000149725,1018,0.08194478,367,0.029541979,442,0.035579168,7,0.000104808,22,0.000329396,7,0.000104808,1,19864.09,4.15
31,1/1/2017,60660,9,0.000188576,0,201701,219550,104,75,68,153.2371795,925,319074,166,60660,47726,49241,4140,66,0.087,0.001382894,4.7,84,0.001760047,4,8.38E-05,338,0.027207599,495,0.039845448,181,0.01456975,0,0,22,0.000460965,3,6.29E-05,1,19864.09,4.15
32,1/1/2018,60605,3,0.000241488,0,201801,445000,148,64.5,72,338.0164614,1250,706494,205,60605,12423,111164,2357,170,0.19,0.013684295,8.5,92,0.007405619,10,0.000804959,99,0.00796909,162,0.013040328,176,0.01416727,4,0.000321983,40,0.003219834,3,0.000241488,1,26149.39,4.03
33,1/1/2018,60607,16,0.001028807,0,201801,477050,115,55,88,320.6262843,1300,804670,334,60607,15552,93508,3678,306,0.236,0.019675926,8.5,133,0.008551955,8,0.000514403,248,0.019962972,337,0.027127103,343,0.027610078,6,0.000385802,92,0.005915638,3,0.000192901,1,26149.39,4.03
34,1/1/2018,60608,15,0.000162211,0,201801,317500,53,73.5,28,248.9056061,1251,366348,96,60608,92472,44043,13453,133,0.145,0.001438273,3.5,348,0.003763301,12,0.000129769,662,0.053288256,1081,0.087016019,427,0.03437173,1,1.08E-05,344,0.003720045,14,0.000151397,0,26149.39,4.03
35,1/1/2018,60609,8,0.000100668,0,201801,159950,45,72,16,101.3513514,1275,217686,76,60609,79469,35179,15714,66,0.198,0.000830513,2.8,417,0.005247329,8,0.000100668,912,0.073412219,598,0.048136521,212,0.017065121,1,1.26E-05,1640,0.020636978,5,6.29E-05,0,26149.39,4.03
36,1/1/2018,60610,35,0.00073664,0,201801,600050,260,81.5,128,347.6606628,1375,1343864,377,60610,47513,86803,2585,253,0.054,0.005324858,5.4,109,0.002294109,10,0.000210469,105,0.008452065,232,0.018675038,219,0.017628592,13,0.000273609,57,0.001199672,7,0.000147328,1,26149.39,4.03
37,1/1/2018,60612,12,0.000315873,0,201801,337050,65,73,28,172.2250152,1413.5,487896,103,60612,37990,41300,364083,45,9.584,0.001184522,2.8,285,0.007501974,12,0.000315873,476,0.038316027,698,0.056186106,183,0.014730741,0,0,1117,0.029402474,1,2.63E-05,0,26149.39,4.03
38,1/1/2018,60613,13,0.000257181,0,201801,340000,181,49,136,221.5,1086.5,579975,270,60613,50548,82321,4890,193,0.097,0.003818153,7.3,168,0.003323574,12,0.000237398,498,0.040086936,343,0.027610078,261,0.021009418,3,5.93E-05,10,0.000197832,5,9.89E-05,2,26149.39,4.03
39,1/1/2018,60614,42,0.000641476,0,201801,824300,325,64.5,176,317.5643275,1637.5,1509080,457,60614,65474,107461,7996,372,0.122,0.005681645,9,191,0.002917189,8,0.000122186,683,0.054978669,534,0.042984786,412,0.033164292,13,0.000198552,17,0.000259645,11,0.000168006,3,26149.39,4.03
40,1/1/2018,60615,5,0.000110875,0,201801,189550,141,98,32,105.5942275,1400,355551,199,60615,45096,44111,4838,55,0.107,0.00121962,2.8,139,0.003082313,4,8.87E-05,236,0.018997022,213,0.017145617,122,0.009820494,3,6.65E-05,348,0.007716871,5,0.000110875,2,26149.39,4.03
