long_date,Zip,permit_count
02/1/2019,60656,8
02/1/2019,60657,6
02/1/2019,60659,4
02/1/2019,60660,10
02/1/2019,60661,29
02/1/2020,60602,35
02/1/2020,60605,3
02/1/2020,60607,15
02/1/2020,60608,27
02/1/2020,60609,16
02/1/2020,60610,37
02/1/2020,60611,12
02/1/2020,60612,12
02/1/2020,60613,17
02/1/2020,60614,26
02/1/2020,60615,7
02/1/2020,60616,11
02/1/2020,60617,15
02/1/2020,60618,19
02/1/2020,60619,11
02/1/2020,60620,25
02/1/2020,60621,6
02/1/2020,60622,16
02/1/2020,60623,26
02/1/2020,60624,18
02/1/2020,60625,9
02/1/2020,60626,3
02/1/2020,60628,17
02/1/2020,60629,14
02/1/2020,60630,8
02/1/2020,60631,9
02/1/2020,60632,10
02/1/2020,60633,1
02/1/2020,60634,14
02/1/2020,60636,14
02/1/2020,60637,17
02/1/2020,60638,6
02/1/2020,60639,8
02/1/2020,60640,15
02/1/2020,60641,12
02/1/2020,60642,16
02/1/2020,60643,11
02/1/2020,60644,9
02/1/2020,60645,7
02/1/2020,60646,6
02/1/2020,60647,24
02/1/2020,60649,9
02/1/2020,60651,13
02/1/2020,60652,5
02/1/2020,60653,3
02/1/2020,60654,6
02/1/2020,60655,7
02/1/2020,60656,4
02/1/2020,60657,16
02/1/2020,60659,8
02/1/2020,60660,10
02/1/2020,60661,20
03/1/2017,60605,14
03/1/2017,60607,19
03/1/2017,60608,24
03/1/2017,60609,11
03/1/2017,60610,48
03/1/2017,60611,13
03/1/2017,60612,20
03/1/2017,60613,20
03/1/2017,60614,47
03/1/2017,60615,7
03/1/2017,60616,15
03/1/2017,60617,19
03/1/2017,60618,45
03/1/2017,60619,20
03/1/2017,60620,17
03/1/2017,60621,6
03/1/2017,60622,31
03/1/2017,60623,21
03/1/2017,60624,14
03/1/2017,60625,30
03/1/2017,60626,3
03/1/2017,60628,14
03/1/2017,60629,15
03/1/2017,60630,17
03/1/2017,60631,8
03/1/2017,60632,20
03/1/2017,60633,2
03/1/2017,60634,22
03/1/2017,60636,18
03/1/2017,60637,16
03/1/2017,60638,6
03/1/2017,60639,22
03/1/2017,60640,8
03/1/2017,60641,10
03/1/2017,60642,15
03/1/2017,60643,12
03/1/2017,60644,7
03/1/2017,60645,6
03/1/2017,60646,6
03/1/2017,60647,34
03/1/2017,60649,4
03/1/2017,60651,19
03/1/2017,60652,9
03/1/2017,60653,10
03/1/2017,60654,5
03/1/2017,60655,4
03/1/2017,60656,4
03/1/2017,60657,15
03/1/2017,60659,5
03/1/2017,60660,6
03/1/2017,60661,29
03/1/2018,60605,8
03/1/2018,60607,19
03/1/2018,60608,25
03/1/2018,60609,12
03/1/2018,60610,35
03/1/2018,60611,17
03/1/2018,60612,23
03/1/2018,60613,23
03/1/2018,60614,30
03/1/2018,60615,6
03/1/2018,60616,12
03/1/2018,60617,9
03/1/2018,60618,44
03/1/2018,60619,15
03/1/2018,60620,12
03/1/2018,60621,9
03/1/2018,60622,34
03/1/2018,60623,24
03/1/2018,60624,20
03/1/2018,60625,27
03/1/2018,60626,2
03/1/2018,60628,14
03/1/2018,60629,18
03/1/2018,60630,14
03/1/2018,60631,6
03/1/2018,60632,10
03/1/2018,60633,3
03/1/2018,60634,19
03/1/2018,60636,14
03/1/2018,60637,27
03/1/2018,60638,10
03/1/2018,60639,13
03/1/2018,60640,20
03/1/2018,60641,11
03/1/2018,60642,17
03/1/2018,60643,8
03/1/2018,60644,11
03/1/2018,60645,12
03/1/2018,60646,5
03/1/2018,60647,46
03/1/2018,60649,5
03/1/2018,60651,11
03/1/2018,60652,4
03/1/2018,60653,12
03/1/2018,60654,8
03/1/2018,60655,7
03/1/2018,60656,4
03/1/2018,60657,19
03/1/2018,60659,4
