Year,long_date,Zip,total_num_crimes,total_num_noise,month_year,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,median_listing_price_per_square_foot,median_square_feet,average_listing_price,total_listing_count,ZIP_CODE,Population,Income,311_Requests,Liquor_License_Counts,311_Per_Capita,Liquor_License_Per_Capita,School_rating,Bus_Stop_Ct,Bus_Stop_Per_Capita,L_Stop_Ct,L_Stop_Per_Capita,311-_Rat,Rat_Per_Capita,Pot_Hole_Count,Pothole_Per_Capita,Num_Rests,Rests_Per_Capita,starbucks_stores,Sbucks_Per_Capita,Public_Prop_Ct,Public_Prop_Per_Capita,Grocery_Store_Count,Grocery_Store_Per_Capita,Premium_Grocer,DOW_Close,30yr_Rates,predictions,Raw Diff,Abs Diff
2017,1/1/2017,60647,44,44,201701,532000,147,45,116,190.8928571,1142.5,631051,273,60647,98769,35283,14758,1428,0.149,0.014,3.1,278,0.002814648,6,6.07E-05,1482,0.119294856,710,0.057152057,431,0.034693713,4,4.05E-05,125,0.001265579,15,0.00015187,0,19864.09,4.15,183.3156566,7.577200463,7.577200463
2017,1/1/2017,60653,7,7,201701,289050,75,66.5,44,121.9043617,1840.5,310299,156,60653,34502,14205,5851,118,0.17,0.003,2.7,127,0.003680946,6,0.000173903,186,0.014972229,168,0.013523304,82,0.00660066,0,0,780,0.022607385,2,5.80E-05,0,19864.09,4.15,77.02749741,44.87686429,44.87686429
2017,1/1/2017,60656,8,8,201701,297000,62,58,36,186.25,1066,285079,98,60656,27129,47512,3154,106,0.116,0.004,7.5,56,0.002064212,2,7.37E-05,229,0.018433551,398,0.03203735,51,0.004105289,1,3.69E-05,3,0.000110583,2,7.37E-05,0,19864.09,4.15,174.0830186,12.16698138,12.16698138
2017,1/1/2017,60657,12,12,201701,569050,271,56.5,168,256.3529412,1293.5,822187,414,60657,66789,55647,8048,1655,0.12,0.025,7.5,158,0.002365659,10,0.000149725,1018,0.08194478,367,0.029541979,442,0.035579168,7,0.000104808,22,0.000329396,7,0.000104808,1,19864.09,4.15,261.3113372,-4.958395991,4.958395991
2017,1/1/2017,60660,9,9,201701,219550,104,75,68,153.2371795,925,319074,166,60660,47726,34293,4140,289,0.087,0.006,4.7,84,0.001760047,4,8.38E-05,338,0.027207599,495,0.039845448,181,0.01456975,0,0,22,0.000460965,3,6.29E-05,1,19864.09,4.15,137.8728333,15.36434624,15.36434624
2018,1/1/2018,60605,3,3,201801,445000,148,64.5,72,338.0164614,1250,706494,205,60605,12423,56151,2357,835,0.19,0.067,8.5,92,0.007405619,10,0.000804959,99,0.00796909,162,0.013040328,176,0.01416727,4,0.000321983,40,0.003219834,3,0.000241488,1,26149.39,4.03,313.8472562,24.16920519,24.16920519
2018,1/1/2018,60607,16,16,201801,477050,115,55,88,320.6262843,1300,804670,334,60607,15552,40972,3678,1105,0.236,0.071,8.5,133,0.008551955,8,0.000514403,248,0.019962972,337,0.027127103,343,0.027610078,6,0.000385802,92,0.005915638,3,0.000192901,1,26149.39,4.03,357.5686497,-36.94236541,36.94236541
2018,1/1/2018,60608,15,15,201801,317500,53,73.5,28,248.9056061,1251,366348,96,60608,92472,28026,13453,503,0.145,0.005,3.5,348,0.003763301,12,0.000129769,662,0.053288256,1081,0.087016019,427,0.03437173,1,1.08E-05,344,0.003720045,14,0.000151397,0,26149.39,4.03,207.9240699,40.9815362,40.9815362
2018,1/1/2018,60609,8,8,201801,159950,45,72,16,101.3513514,1275,217686,76,60609,79469,25705,15714,271,0.198,0.003,2.8,417,0.005247329,8,0.000100668,912,0.073412219,598,0.048136521,212,0.017065121,1,1.26E-05,1640,0.020636978,5,6.29E-05,0,26149.39,4.03,107.7491804,-6.397829036,6.397829036
2018,1/1/2018,60610,35,35,201801,600050,260,81.5,128,347.6606628,1375,1343864,377,60610,47513,51294,2585,1171,0.054,0.025,5.4,109,0.002294109,10,0.000210469,105,0.008452065,232,0.018675038,219,0.017628592,13,0.000273609,57,0.001199672,7,0.000147328,1,26149.39,4.03,294.9304754,52.73018738,52.73018738
