long_date,Zip,total_num_crimes,total_num_noise,month_year,Full_date,short_date,zip_code,city_state,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,median_listing_price_per_square_foot,median_square_feet,average_listing_price,total_listing_count
01/1/2017,60646,4,4,201701.0,01/1/2017,01/2017,60646.0,"chicago, il",499050.0,79.0,59.0,32.0,215.67708330000002,1599.5,537229.0,117.0
01/1/2017,60647,44,44,201701.0,01/1/2017,01/2017,60647.0,"chicago, il",532000.0,147.0,45.0,116.0,190.8928571,1142.5,631051.0,273.0
01/1/2017,60649,15,15,201701.0,01/1/2017,01/2017,60649.0,"chicago, il",94050.0,78.0,78.0,28.0,58.502673800000004,1400.0,134961.0,121.0
01/1/2017,60651,17,17,201701.0,01/1/2017,01/2017,60651.0,"chicago, il",142500.0,68.0,61.5,24.0,92.5,1300.0,159510.0,112.0
01/1/2017,60652,3,3,201701.0,01/1/2017,01/2017,60652.0,"chicago, il",189050.0,117.0,56.5,68.0,139.4364341,1176.0,179880.0,200.0
01/1/2017,60653,7,7,201701.0,01/1/2017,01/2017,60653.0,"chicago, il",289050.0,75.0,66.5,44.0,121.90436170000001,1840.5,310299.0,156.0
01/1/2017,60654,5,5,201701.0,01/1/2017,01/2017,60654.0,"chicago, il",508550.0,114.0,74.5,100.0,393.0980392,1300.0,871291.0,189.0
01/1/2017,60655,13,13,201701.0,01/1/2017,01/2017,60655.0,"chicago, il",229950.0,89.0,65.5,36.0,159.125,1200.0,247562.0,119.0
01/1/2017,60656,8,8,201701.0,01/1/2017,01/2017,60656.0,"chicago, il",297000.0,62.0,58.0,36.0,186.25,1066.0,285079.0,98.0
01/1/2017,60657,12,12,201701.0,01/1/2017,01/2017,60657.0,"chicago, il",569050.0,271.0,56.5,168.0,256.3529412,1293.5,822187.0,414.0
01/1/2017,60659,5,5,201701.0,01/1/2017,01/2017,60659.0,"chicago, il",284500.0,52.0,67.0,40.0,156.1875,1397.0,284850.0,95.0
01/1/2017,60660,9,9,201701.0,01/1/2017,01/2017,60660.0,"chicago, il",219550.0,104.0,75.0,68.0,153.2371795,925.0,319074.0,166.0
01/1/2017,60661,23,23,201701.0,01/1/2017,01/2017,60661.0,"chicago, il",439050.0,18.0,37.5,16.0,315.3294074,1150.0,418972.0,36.0
01/1/2017,60707,2,2,,,,,,,,,,,,,
01/1/2017,60712,2,2,,,,,,,,,,,,,
01/1/2017,60714,0,0,,,,,,,,,,,,,
01/1/2017,60803,1,1,,,,,,,,,,,,,
01/1/2017,60804,0,0,,,,,,,,,,,,,
01/1/2017,90615,8,8,,,,,,,,,,,,,
01/1/2018,60202,1,1,,,,,,,,,,,,,
01/1/2018,60302,13,13,,,,,,,,,,,,,
01/1/2018,60602,32,32,,,,,,,,,,,,,
01/1/2018,60605,3,3,201801.0,01/1/2018,01/2018,60605.0,"chicago, il",445000.0,148.0,64.5,72.0,338.01646139999997,1250.0,706494.0,205.0
01/1/2018,60607,16,16,201801.0,01/1/2018,01/2018,60607.0,"chicago, il",477050.0,115.0,55.0,88.0,320.6262843,1300.0,804670.0,334.0
01/1/2018,60608,15,15,201801.0,01/1/2018,01/2018,60608.0,"chicago, il",317500.0,53.0,73.5,28.0,248.90560609999997,1251.0,366348.0,96.0
01/1/2018,60609,8,8,201801.0,01/1/2018,01/2018,60609.0,"chicago, il",159950.0,45.0,72.0,16.0,101.35135140000001,1275.0,217686.0,76.0
01/1/2018,60610,35,35,201801.0,01/1/2018,01/2018,60610.0,"chicago, il",600050.0,260.0,81.5,128.0,347.6606628,1375.0,1343864.0,377.0
01/1/2018,60611,8,8,201801.0,01/1/2018,01/2018,60611.0,"chicago, il",649950.0,513.0,90.5,204.0,421.3239567,1440.5,1178397.0,649.0
01/1/2018,60612,12,12,201801.0,01/1/2018,01/2018,60612.0,"chicago, il",337050.0,65.0,73.0,28.0,172.22501519999997,1413.5,487896.0,103.0
01/1/2018,60613,13,13,201801.0,01/1/2018,01/2018,60613.0,"chicago, il",340000.0,181.0,49.0,136.0,221.5,1086.5,579975.0,270.0
01/1/2018,60614,42,42,201801.0,01/1/2018,01/2018,60614.0,"chicago, il",824300.0,325.0,64.5,176.0,317.5643275,1637.5,1509080.0,457.0
01/1/2018,60615,5,5,201801.0,01/1/2018,01/2018,60615.0,"chicago, il",189550.0,141.0,98.0,32.0,105.59422749999999,1400.0,355551.0,199.0
01/1/2018,60616,12,12,201801.0,01/1/2018,01/2018,60616.0,"chicago, il",311538.0,111.0,69.5,56.0,244.1212838,1050.0,407700.0,192.0
01/1/2018,60617,14,14,201801.0,01/1/2018,01/2018,60617.0,"chicago, il",117500.0,190.0,86.0,64.0,81.38648017,1284.0,122691.0,280.0
01/1/2018,60618,26,26,201801.0,01/1/2018,01/2018,60618.0,"chicago, il",562000.0,187.0,58.0,136.0,229.7309557,1700.0,687399.0,292.0
01/1/2018,60619,16,16,201801.0,01/1/2018,01/2018,60619.0,"chicago, il",114950.0,188.0,78.0,64.0,76.40436884,1240.0,117228.0,282.0
01/1/2018,60620,17,17,201801.0,01/1/2018,01/2018,60620.0,"chicago, il",126550.0,194.0,63.0,76.0,74.07303752,1305.0,125601.0,278.0
01/1/2018,60621,3,3,201801.0,01/1/2018,01/2018,60621.0,"chicago, il",49950.0,33.0,104.0,8.0,25.29866202,1374.0,56635.0,46.0
01/1/2018,60622,18,18,201801.0,01/1/2018,01/2018,60622.0,"chicago, il",592050.0,169.0,48.0,136.0,220.63043480000002,1200.0,735790.0,282.0
01/1/2018,60623,20,20,,,,,,,,,,,,,
01/1/2018,60624,14,14,201801.0,01/1/2018,01/2018,60624.0,"chicago, il",99500.0,33.0,95.0,4.0,52.72222222,1340.0,126820.0,41.0
01/1/2018,60625,27,27,201801.0,01/1/2018,01/2018,60625.0,"chicago, il",333300.0,107.0,63.0,68.0,195.4392363,1396.5,499373.0,170.0
01/1/2018,60626,3,3,201801.0,01/1/2018,01/2018,60626.0,"chicago, il",174500.0,74.0,68.5,52.0,138.8992281,915.0,220742.0,108.0
01/1/2018,60628,11,11,201801.0,01/1/2018,01/2018,60628.0,"chicago, il",65000.0,248.0,80.0,68.0,47.78571429,1200.0,77482.0,336.0
01/1/2018,60629,15,15,201801.0,01/1/2018,01/2018,60629.0,"chicago, il",175050.0,119.0,59.0,40.0,117.994954,1217.0,167965.0,206.0
01/1/2018,60630,10,10,201801.0,01/1/2018,01/2018,60630.0,"chicago, il",299300.0,82.0,61.5,52.0,156.3388889,1160.5,328207.0,142.0
01/1/2018,60631,7,7,201801.0,01/1/2018,01/2018,60631.0,"chicago, il",354500.0,57.0,57.0,32.0,199.79166669999998,1270.0,402931.0,91.0
01/1/2018,60632,13,13,201801.0,01/1/2018,01/2018,60632.0,"chicago, il",196050.0,57.0,52.0,28.0,158.53101999999998,1166.0,212031.0,97.0
01/1/2018,60633,1,1,201801.0,01/1/2018,01/2018,60633.0,"chicago, il",126500.0,34.0,82.0,12.0,99.33333333,1098.0,120185.0,47.0
01/1/2018,60634,5,5,201801.0,01/1/2018,01/2018,60634.0,"chicago, il",319500.0,158.0,66.5,76.0,181.94159,1418.5,324126.0,232.0
01/1/2018,60636,11,11,201801.0,01/1/2018,01/2018,60636.0,"chicago, il",57500.0,78.0,70.0,28.0,39.9,1155.5,65469.0,104.0
01/1/2018,60637,18,18,201801.0,01/1/2018,01/2018,60637.0,"chicago, il",127500.0,88.0,99.5,20.0,87.5,1200.0,242905.0,123.0
01/1/2018,60638,7,7,201801.0,01/1/2018,01/2018,60638.0,"chicago, il",247050.0,123.0,59.0,68.0,171.9678102,1176.0,248097.0,190.0
01/1/2018,60639,12,12,201801.0,01/1/2018,01/2018,60639.0,"chicago, il",249500.0,44.0,45.0,32.0,153.5271458,1406.0,257950.0,85.0
01/1/2018,60640,7,7,201801.0,01/1/2018,01/2018,60640.0,"chicago, il",275000.0,154.0,62.5,92.0,197.5808824,1200.0,396808.0,226.0
01/1/2018,60641,8,8,201801.0,01/1/2018,01/2018,60641.0,"chicago, il",351550.0,94.0,51.0,48.0,183.6428571,1462.5,409066.0,154.0
01/1/2018,60642,6,6,201801.0,01/1/2018,01/2018,60642.0,"chicago, il",597050.0,64.0,39.5,40.0,258.6537037,1410.0,682773.0,101.0
