lat,lng,detail,Zip
41.86,-87.62,"{'building': '1600 Museum Park', 'house_number': '1621-1629', 'road': 'South Prairie Avenue', 'neighbourhood': 'Near South Side', 'suburb': 'South Loop', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60605', 'country': 'United States of America', 'country_code': 'us'}",60605
41.87,-87.63,"{'house_number': '960-996', 'road': 'South Park Terrace', 'residential': 'Dearborn Park', 'suburb': 'South Loop', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60605', 'country': 'United States of America', 'country_code': 'us'}",60605
41.87,-87.61,"{'man_made': 'Southerly Breakwater', 'road': 'Lakefront Trail', 'neighbourhood': 'Near South Side', 'suburb': 'South Loop', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60605', 'country': 'United States of America', 'country_code': 'us'}",60605
41.85,-87.61,"{'amenity': 'McCormick Place Parking Lot C', 'road': 'Lakefront Trail', 'neighbourhood': 'Near South Side', 'suburb': 'South Loop', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60605', 'country': 'United States of America', 'country_code': 'us'}",60605
41.88,-87.66,"{'house_number': '1312', 'road': 'West Monroe Street', 'neighbourhood': 'Near West Side', 'suburb': 'Illinois Medical District', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60607', 'country': 'United States of America', 'country_code': 'us'}",60607
41.88,-87.65,"{'leisure': 'Mary Bartelme Park Playground', 'road': 'South Peoria Street', 'neighbourhood': 'Near West Side', 'suburb': 'University Village/Little Italy', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60607', 'country': 'United States of America', 'country_code': 'us'}",60607
41.87,-87.65,"{'amenity': 'University of Illinois at Chicago', 'road': 'Eisenhower Expressway', 'neighbourhood': 'Near West Side', 'suburb': 'Illinois Medical District', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60607', 'country': 'United States of America', 'country_code': 'us'}",60607
41.87,-87.66,"{'house_number': '927', 'road': 'South Ada Street', 'neighbourhood': 'Near West Side', 'suburb': 'University Village/Little Italy', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60607', 'country': 'United States of America', 'country_code': 'us'}",60607
41.87,-87.64,"{'amenity': ""Portillo's"", 'house_number': '520', 'road': 'West Taylor Street', 'neighbourhood': 'Near West Side', 'suburb': 'South Loop', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60607', 'country': 'United States of America', 'country_code': 'us'}",60607
41.86,-87.68,"{'railway': 'BNSF Western Avenue Intermodal Facility', 'road': 'South Wolcott Avenue', 'neighbourhood': 'Near West Side', 'suburb': 'Illinois Medical District', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60608', 'country': 'United States of America', 'country_code': 'us'}",60608
